id,order,expected_json
11,"I need a Trenta Mocha, alongside Almond Milk, pump of Cold Foam, blended with Coconut Milk, put in some Caramel Drizzle... make that a like Extra Hot.","{""drink"": ""Mocha"", ""size"": ""Trenta"", ""final_milk"": ""Coconut Milk"", ""modifiers"": [""Almond Milk"", ""Cold Foam"", ""Coconut Milk"", ""Extra Hot""], ""food_items"": [], ""total_price"": 9.05}"
12,"I'm craving a Frappe (Coffee), make it Venti, bit of Sugar Free Vanilla... actually sans Breve, and let's add No Ice, add a shot of Whip Cream... hold the Cold um Foam.","{""drink"": ""Frappe (Coffee)"", ""size"": ""Venti"", ""final_milk"": ""Breve"", ""modifiers"": [""Breve"", ""No Ice"", ""Cold Foam""], ""food_items"": [], ""total_price"": 8.55}"
13,"Give me a Trenta Strawberry Smoothie, plus Extra Shot, also Vanilla Syrup, coupled with Vanilla Syrup... remove the Skim Milk, and on the side Sugar Free Vanilla, and a Blueberry Muffin.","{""drink"": ""Strawberry Smoothie"", ""size"": ""Trenta"", ""final_milk"": ""Skim Milk"", ""modifiers"": [""Extra Shot"", ""Vanilla Syrup"", ""Skim Milk"", ""Sugar Free Vanilla""], ""food_items"": [""Blueberry Muffin""], ""total_price"": 13.25}"
14,"Hmm, give me a sec... okay, a Mocha, make it actually Tall, and Light Ice.","{""drink"": ""Mocha"", ""size"": ""Tall"", ""final_milk"": ""Whole Milk"", ""modifiers"": [""Light Ice""], ""food_items"": [], ""total_price"": 5.0}"
15,Grab me a Trenta Strawberry Smoothie.,"{""drink"": ""Strawberry Smoothie"", ""size"": ""Trenta"", ""final_milk"": null, ""modifiers"": [], ""food_items"": [], ""total_price"": 7.5}"
16,"You know what? Let's do a Short Flat White, lot of Extra Shot, substitute with Caramel Syrup... actually I hate Coconut Milk, bit of Caramel Drizzle, blended like with Extra Hot, and a Bagel.","{""drink"": ""Flat White"", ""size"": ""Short"", ""final_milk"": ""Coconut Milk"", ""modifiers"": [""Extra Shot"", ""Coconut Milk"", ""Caramel Drizzle"", ""Extra Hot""], ""food_items"": [""Bagel""], ""total_price"": 8.95}"
17,"Yo, can I get a Matcha hmm Latte, make it Short.","{""drink"": ""Matcha Latte"", ""size"": ""Short"", ""final_milk"": ""Whole Milk"", ""modifiers"": [], ""food_items"": [], ""total_price"": 4.75}"
18,"Grab me a Grande Cold Brew, lot of Light Ice... remove the Classic literally Syrup, and a Butter Croissant.","{""drink"": ""Cold Brew"", ""size"": ""Grande"", ""final_milk"": null, ""modifiers"": [""Classic Syrup""], ""food_items"": [""Butter Croissant""], ""total_price"": 8.25}"
19,"Make it a Cold Brew, uh make it Venti, bit I mean, of Extra Shot, with Vanilla Syrup, hint of Almond Milk... hold on hmm Skim Milk, and a Bagel.","{""drink"": ""Cold Brew"", ""size"": ""Venti"", ""final_milk"": ""Skim Milk"", ""modifiers"": [""Extra Shot"", ""Vanilla Syrup"", ""Skim Milk""], ""food_items"": [""Bagel""], ""total_price"": 9.25}"
20,"Hook me up with a Tall Mocha, and let's hmm add Coconut Milk, and a Butter Croissant.","{""drink"": ""Mocha"", ""size"": ""Tall"", ""final_milk"": ""Coconut Milk"", ""modifiers"": [""Coconut Milk""], ""food_items"": [""Butter Croissant""], ""total_price"": 9.2}"
21,"Uh, I think I'll try the Grande Caramel Macchiato, lot of Coconut hmm Milk... nevermind on the Sugar Free Vanilla, make that with Cold Foam.","{""drink"": ""Caramel Macchiato"", ""size"": ""Grande"", ""final_milk"": ""Whole Milk"", ""modifiers"": [""Sugar Free Vanilla"", ""Cold Foam""], ""food_items"": [], ""total_price"": 7.5}"
22,"Two Trenta Cappuccino, with Cold Foam... change that to Whip Cream, bit of Almond Milk.","{""drink"": ""Cappuccino"", ""size"": ""Trenta"", ""final_milk"": ""Almond Milk"", ""modifiers"": [""Whip Cream"", ""Almond Milk""], ""food_items"": [], ""total_price"": 7.1}"
23,"I'll have a Short Flat White, splash of hmm Extra Shot, coupled with Oat Milk, add a shot of sort of Extra Hot.","{""drink"": ""Flat White"", ""size"": ""Short"", ""final_milk"": ""Oat Milk"", ""modifiers"": [""Extra Shot"", ""Oat Milk"", ""Extra Hot""], ""food_items"": [], ""total_price"": 6.05}"
24,"Give me a Venti Iced Coffee, and don't forget the Classic Syrup... actually let's do Sugar Free Vanilla, and a Bagel.","{""drink"": ""Iced Coffee"", ""size"": ""Venti"", ""final_milk"": null, ""modifiers"": [""Sugar Free Vanilla""], ""food_items"": [""Bagel""], ""total_price"": 7.0}"
25,"Let's start with a Venti Drip Coffee, and on the side Light Ice... oops I meant Extra Shot, paired with Light Ice.","{""drink"": ""Drip Coffee"", ""size"": ""Venti"", ""final_milk"": null, ""modifiers"": [""Extra Shot"", ""Light Ice""], ""food_items"": [], ""total_price"": 4.5}"
26,"One Latte, make it Venti, and why not add Breve, add um a shot of Coconut Milk, lot of Vanilla Syrup.","{""drink"": ""Latte"", ""size"": ""Venti"", ""final_milk"": ""Coconut Milk"", ""modifiers"": [""Breve"", ""Coconut Milk"", ""Vanilla Syrup""], ""food_items"": [], ""total_price"": 7.5}"
27,"May I get a Venti Cappuccino, topped with Vanilla Syrup... shoot, sorry, Cold Foam, and a Bacon Gouda Sandwich.","{""drink"": ""Cappuccino"", ""size"": ""Venti"", ""final_milk"": ""Whole Milk"", ""modifiers"": [""Cold Foam""], ""food_items"": [""Bacon Gouda Sandwich""], ""total_price"": 12.25}"
28,"So, I'll have a Venti Iced Coffee, finished with actually Extra Hot, coupled with Vanilla Syrup, added with Sugar Free Vanilla.","{""drink"": ""Iced Coffee"", ""size"": ""Venti"", ""final_milk"": null, ""modifiers"": [""Extra Hot"", ""Vanilla Syrup"", ""Sugar Free Vanilla""], ""food_items"": [], ""total_price"": 5.0}"
29,"Give me a Short Matcha Latte, and throw on Skim Milk... cancel the Peppermint Syrup, and a Bagel.","{""drink"": ""Matcha Latte"", ""size"": ""Short"", ""final_milk"": ""Whole Milk"", ""modifiers"": [""Peppermint Syrup""], ""food_items"": [""Bagel""], ""total_price"": 7.75}"
30,"I would like a Trenta Americano, pump of Light Ice... wait, I don't want Whip Cream, poured over Caramel Syrup, dash of Extra Shot... scratch that, give me No Ice, and a Butter Croissant.","{""drink"": ""Americano"", ""size"": ""Trenta"", ""final_milk"": null, ""modifiers"": [""Whip Cream"", ""Caramel Syrup"", ""No Ice""], ""food_items"": [""Butter Croissant""], ""total_price"": 9.5}"
31,"Hit me with a Mocha, make it Grande, lot like of Sugar Free Vanilla, bit of um Skim Milk, and a Bagel.","{""drink"": ""Mocha"", ""size"": ""Grande"", ""final_milk"": ""Skim Milk"", ""modifiers"": [""Sugar Free Vanilla"", ""Skim Milk""], ""food_items"": [""Bagel""], ""total_price"": 8.5}"
32,"Okay, for me, it's gonna be a Short Flat White, and throw on Coconut Milk... actually wait Extra Shot, oh and also Vanilla Syrup, lot of Classic Syrup, and a Blueberry Muffin.","{""drink"": ""Flat White"", ""size"": ""Short"", ""final_milk"": ""Whole Milk"", ""modifiers"": [""Extra Shot"", ""Vanilla Syrup"", ""Classic Syrup""], ""food_items"": [""Blueberry Muffin""], ""total_price"": 9.5}"
33,"Fix me up a Trenta Mocha, mix in some Breve... hold on Light Ice, hint of Soy Milk, and a Blueberry Muffin.","{""drink"": ""Mocha"", ""size"": ""Trenta"", ""final_milk"": ""Soy Milk"", ""modifiers"": [""Light Ice"", ""Soy Milk""], ""food_items"": [""Blueberry Muffin""], ""total_price"": 10.85}"
34,"So, I'll have a Tall Matcha Latte, and let's you know, add Caramel Syrup, and a Bacon Gouda Sandwich.","{""drink"": ""Matcha Latte"", ""size"": ""Tall"", ""final_milk"": ""Whole Milk"", ""modifiers"": [""Caramel Syrup""], ""food_items"": [""Bacon Gouda Sandwich""], ""total_price"": 11.25}"
35,"Shoot me a Latte, make actually it Venti, lot of Coconut Milk, pump uh of Oat Milk.","{""drink"": ""Latte"", ""size"": ""Venti"", ""final_milk"": ""Oat Milk"", ""modifiers"": [""Coconut Milk"", ""Oat Milk""], ""food_items"": [], ""total_price"": 7.0}"
36,"Let's start with a Grande Caramel Macchiato, dash of Caramel Drizzle... wait, I don't want Whip actually Cream, use Extra Shot.","{""drink"": ""Caramel Macchiato"", ""size"": ""Grande"", ""final_milk"": ""Whole Milk"", ""modifiers"": [""Whip Cream"", ""Extra Shot""], ""food_items"": [], ""total_price"": 7.25}"
37,"Can I please get a Trenta Cappuccino, and Whip Cream, also Light Ice... hold the Skim Milk, and a Blueberry Muffin.","{""drink"": ""Cappuccino"", ""size"": ""Trenta"", ""final_milk"": ""Skim Milk"", ""modifiers"": [""Whip Cream"", ""Skim Milk""], ""food_items"": [""Blueberry Muffin""], ""total_price"": 10.25}"
38,"Let me try the Trenta Americano, added with Extra Shot.","{""drink"": ""Americano"", ""size"": ""Trenta"", ""final_milk"": null, ""modifiers"": [""Extra Shot""], ""food_items"": [], ""total_price"": 6.0}"
39,I'm craving a Tall Matcha Latte.,"{""drink"": ""Matcha Latte"", ""size"": ""Tall"", ""final_milk"": ""Whole Milk"", ""modifiers"": [], ""food_items"": [], ""total_price"": 5.25}"
40,"One Hot Chocolate, make it Trenta, mix in some Breve.","{""drink"": ""Hot Chocolate"", ""size"": ""Trenta"", ""final_milk"": ""Breve"", ""modifiers"": [""Breve""], ""food_items"": [], ""total_price"": 6.3}"
41,"I'm craving a Trenta Mocha, and don't forget the Caramel Syrup... replace that with No Ice.","{""drink"": ""Mocha"", ""size"": ""Trenta"", ""final_milk"": ""Whole Milk"", ""modifiers"": [""No Ice""], ""food_items"": [], ""total_price"": 6.5}"
42,"May I get a Tall Iced Coffee, and a Blueberry Muffin.","{""drink"": ""Iced Coffee"", ""size"": ""Tall"", ""final_milk"": null, ""modifiers"": [], ""food_items"": [""Blueberry Muffin""], ""total_price"": 6.75}"
43,"I'm going to grab a Americano, make um it Venti, finished with Cold Foam, and throw on Extra Shot, and on the side sort of Vanilla Syrup... hold on Oat Milk.","{""drink"": ""Americano"", ""size"": ""Venti"", ""final_milk"": ""Oat Milk"", ""modifiers"": [""Cold Foam"", ""Extra Shot"", ""Oat Milk""], ""food_items"": [], ""total_price"": 7.55}"
44,"I'm craving a Trenta Cappuccino, put in some Sugar Free Vanilla.","{""drink"": ""Cappuccino"", ""size"": ""Trenta"", ""final_milk"": ""Whole Milk"", ""modifiers"": [""Sugar Free Vanilla""], ""food_items"": [], ""total_price"": 6.5}"
45,"I want a Mocha, make it Short, oh and also Coconut uh Milk.","{""drink"": ""Mocha"", ""size"": ""Short"", ""final_milk"": ""Coconut Milk"", ""modifiers"": [""Coconut Milk""], ""food_items"": [], ""total_price"": 5.2}"
46,"I'm going to grab a Mocha, make it hmm Venti, add a shot of Soy Milk, and a Butter uh Croissant.","{""drink"": ""Mocha"", ""size"": ""Venti"", ""final_milk"": ""Soy Milk"", ""modifiers"": [""Soy Milk""], ""food_items"": [""Butter Croissant""], ""total_price"": 10.1}"
47,"Shoot me a Grande Americano, coupled with Coconut Milk... actually no Soy Milk, paired with Sugar Free Vanilla... wait, you know, I don't want Breve.","{""drink"": ""Americano"", ""size"": ""Grande"", ""final_milk"": ""Breve"", ""modifiers"": [""Soy Milk"", ""Breve""], ""food_items"": [], ""total_price"": 5.4}"
48,"I'm craving a Drip Coffee, make it Grande, and Caramel Syrup.","{""drink"": ""Drip Coffee"", ""size"": ""Grande"", ""final_milk"": null, ""modifiers"": [""Caramel Syrup""], ""food_items"": [], ""total_price"": 3.5}"
49,"I'll have a Short Mocha, poured over Classic Syrup... on second thought Sugar Free Vanilla, put in some Vanilla Syrup... change that to Extra Shot.","{""drink"": ""Mocha"", ""size"": ""Short"", ""final_milk"": ""Whole Milk"", ""modifiers"": [""Sugar Free Vanilla"", ""Extra Shot""], ""food_items"": [], ""total_price"": 6.0}"
50,"You know what? Let's do a Chai Latte, make it Short, included with Soy Milk, oh and also Soy Milk... hold the Whip Cream, and a Butter Croissant.","{""drink"": ""Chai Latte"", ""size"": ""Short"", ""final_milk"": ""Soy Milk"", ""modifiers"": [""Soy Milk"", ""Whip Cream""], ""food_items"": [""Butter Croissant""], ""total_price"": 8.85}"
51,"I'd like to order a Venti Strawberry Smoothie, bit of Extra Hot.","{""drink"": ""Strawberry Smoothie"", ""size"": ""Venti"", ""final_milk"": null, ""modifiers"": [""Extra Hot""], ""food_items"": [], ""total_price"": 7.0}"
52,"I need a Short Matcha Latte, paired with Sugar Free Vanilla... scratch that, give me Oat Milk, throw in some Skim Milk, and a Bacon Gouda Sandwich.","{""drink"": ""Matcha Latte"", ""size"": ""Short"", ""final_milk"": ""Skim Milk"", ""modifiers"": [""Oat Milk"", ""Skim Milk""], ""food_items"": [""Bacon Gouda Sandwich""], ""total_price"": 11.05}"
53,"Umm, let's see... I'll do a Short Chai Latte.","{""drink"": ""Chai Latte"", ""size"": ""Short"", ""final_milk"": ""Whole Milk"", ""modifiers"": [], ""food_items"": [], ""total_price"": 4.25}"
54,Let me try the Trenta Cold Brew.,"{""drink"": ""Cold Brew"", ""size"": ""Trenta"", ""final_milk"": null, ""modifiers"": [], ""food_items"": [], ""total_price"": 5.75}"
55,"I'm craving a Venti Frappe (Mocha), bit of Light Ice.","{""drink"": ""Frappe (Mocha)"", ""size"": ""Venti"", ""final_milk"": ""Whole Milk"", ""modifiers"": [""Light Ice""], ""food_items"": [], ""total_price"": 6.75}"
56,"I'm going to grab a Trenta Strawberry Smoothie, poured over Classic Syrup, and a Avocado Toast.","{""drink"": ""Strawberry Smoothie"", ""size"": ""Trenta"", ""final_milk"": null, ""modifiers"": [""Classic Syrup""], ""food_items"": [""Avocado Toast""], ""total_price"": 14.5}"
57,"Two Trenta Matcha Latte, put in some Extra Hot, and No Whip.","{""drink"": ""Matcha Latte"", ""size"": ""Trenta"", ""final_milk"": ""Whole Milk"", ""modifiers"": [""Extra Hot"", ""No Whip""], ""food_items"": [], ""total_price"": 6.75}"
58,"May I get a Mocha, make it err Grande, make that with Oat Milk, plus Light Ice... remove the Vanilla Syrup, with Classic Syrup... wait, is that extra? okay no Caramel Drizzle, poured over Extra Shot... no nevermind Extra Hot, and a Bagel.","{""drink"": ""Mocha"", ""size"": ""Grande"", ""final_milk"": ""Oat Milk"", ""modifiers"": [""Oat Milk"", ""Vanilla Syrup"", ""Caramel Drizzle"", ""Extra Hot""], ""food_items"": [""Bagel""], ""total_price"": 9.8}"
59,"Alright, I think I want a Tall Mocha, finished with Classic Syrup... hold the Hazelnut Syrup, also Hazelnut Syrup... no nevermind Skim Milk.","{""drink"": ""Mocha"", ""size"": ""Tall"", ""final_milk"": ""Skim Milk"", ""modifiers"": [""Hazelnut Syrup"", ""Skim Milk""], ""food_items"": [], ""total_price"": 5.5}"
60,"Get me a Mocha, make it Trenta, and on the side Whip Cream, throw in some Oat Milk, and a Bagel.","{""drink"": ""Mocha"", ""size"": ""Trenta"", ""final_milk"": ""Oat Milk"", ""modifiers"": [""Whip Cream"", ""Oat Milk""], ""food_items"": [""Bagel""], ""total_price"": 10.3}"
61,"I'm craving a Venti Frappe (Mocha), and a Avocado Toast.","{""drink"": ""Frappe (Mocha)"", ""size"": ""Venti"", ""final_milk"": ""Whole Milk"", ""modifiers"": [], ""food_items"": [""Avocado Toast""], ""total_price"": 13.75}"
62,"I'll take a Short Drip Coffee, and Sugar Free Vanilla, throw in some No Ice, and on the side Caramel Syrup, and a Bagel.","{""drink"": ""Drip Coffee"", ""size"": ""Short"", ""final_milk"": null, ""modifiers"": [""Sugar Free Vanilla"", ""No Ice"", ""Caramel Syrup""], ""food_items"": [""Bagel""], ""total_price"": 5.5}"
63,"Two Short Strawberry Smoothie, oh and also Almond kinda Milk, coupled with um No Whip, dash sort of of Caramel Drizzle.","{""drink"": ""Strawberry Smoothie"", ""size"": ""Short"", ""final_milk"": ""Almond Milk"", ""modifiers"": [""Almond Milk"", ""No Whip"", ""Caramel Drizzle""], ""food_items"": [], ""total_price"": 6.6}"
64,"I'll have a Flat White, make it Grande, make sure there's Coconut Milk, throw in some Caramel Drizzle, and a Bacon Gouda Sandwich.","{""drink"": ""Flat White"", ""size"": ""Grande"", ""final_milk"": ""Coconut Milk"", ""modifiers"": [""Coconut Milk"", ""Caramel Drizzle""], ""food_items"": [""Bacon Gouda Sandwich""], ""total_price"": 11.95}"
65,"Gimme a Tall Strawberry Smoothie, dash of Classic um Syrup, and Vanilla Syrup, with No Ice.","{""drink"": ""Strawberry Smoothie"", ""size"": ""Tall"", ""final_milk"": null, ""modifiers"": [""Classic Syrup"", ""Vanilla Syrup"", ""No Ice""], ""food_items"": [], ""total_price"": 6.5}"
66,"Just a Trenta Espresso, with Peppermint Syrup... actually let's um do No Ice.","{""drink"": ""Espresso"", ""size"": ""Trenta"", ""final_milk"": null, ""modifiers"": [""No Ice""], ""food_items"": [], ""total_price"": 4.5}"
67,"Just a Short Frappe (Mocha), blended with Hazelnut Syrup... switch that to Almond Milk.","{""drink"": ""Frappe (Mocha)"", ""size"": ""Short"", ""final_milk"": ""Almond Milk"", ""modifiers"": [""Almond Milk""], ""food_items"": [], ""total_price"": 5.85}"
68,"Get me a Caramel Macchiato, make it Tall, throw in some Cold Foam, with Almond Milk, and a Butter Croissant.","{""drink"": ""Caramel Macchiato"", ""size"": ""Tall"", ""final_milk"": ""Almond Milk"", ""modifiers"": [""Cold Foam"", ""Almond Milk""], ""food_items"": [""Butter Croissant""], ""total_price"": 10.6}"
69,"I would like a Grande Drip Coffee, mix in some Extra Shot... sorry I changed my mind, Skim Milk, poured over Oat Milk, and a like Blueberry Muffin.","{""drink"": ""Drip Coffee"", ""size"": ""Grande"", ""final_milk"": ""Oat Milk"", ""modifiers"": [""Skim Milk"", ""Oat Milk""], ""food_items"": [""Blueberry Muffin""], ""total_price"": 7.55}"
70,"Gimme a Espresso, make it Short, poured over Almond Milk, bit of No Ice, and a Bacon Gouda Sandwich.","{""drink"": ""Espresso"", ""size"": ""Short"", ""final_milk"": ""Almond Milk"", ""modifiers"": [""Almond Milk"", ""No Ice""], ""food_items"": [""Bacon Gouda Sandwich""], ""total_price"": 8.6}"
71,"So, I'll have a Matcha literally Latte, make it Tall, and throw on Extra Shot... wait, you know, I don't want Caramel Syrup, pump of Almond Milk... sorry I changed my mind, Sugar err Free Vanilla, bit of Extra Hot.","{""drink"": ""Matcha Latte"", ""size"": ""Tall"", ""final_milk"": ""Whole Milk"", ""modifiers"": [""Caramel Syrup"", ""Sugar Free Vanilla"", ""Extra Hot""], ""food_items"": [], ""total_price"": 6.25}"
72,"Make it a Cold Brew, make it Tall, topped with Whip Cream... actually sans Vanilla Syrup.","{""drink"": ""Cold Brew"", ""size"": ""Tall"", ""final_milk"": null, ""modifiers"": [""Vanilla Syrup""], ""food_items"": [], ""total_price"": 4.75}"
73,"I'll take a Venti Matcha Latte, poured over Whip actually Cream, and a Avocado Toast.","{""drink"": ""Matcha Latte"", ""size"": ""Venti"", ""final_milk"": ""Whole Milk"", ""modifiers"": [""Whip Cream""], ""food_items"": [""Avocado Toast""], ""total_price"": 13.75}"
74,"One Venti Drip Coffee, and why not add Coconut Milk... scrap the Cold Foam, and throw on Extra Shot... wait sorry Peppermint Syrup, and on the side Skim like Milk, and a Blueberry Muffin.","{""drink"": ""Drip Coffee"", ""size"": ""Venti"", ""final_milk"": ""Skim Milk"", ""modifiers"": [""Cold Foam"", ""Peppermint Syrup"", ""Skim Milk""], ""food_items"": [""Blueberry Muffin""], ""total_price"": 9.0}"
75,"Order of a Venti Chai Latte, and don't forget the Caramel Drizzle... on second thought Oat Milk.","{""drink"": ""Chai Latte"", ""size"": ""Venti"", ""final_milk"": ""Oat Milk"", ""modifiers"": [""Oat Milk""], ""food_items"": [], ""total_price"": 6.55}"
76,"Hook me up with a Short Latte, oh and also Caramel Drizzle.","{""drink"": ""Latte"", ""size"": ""Short"", ""final_milk"": ""Whole Milk"", ""modifiers"": [""Caramel Drizzle""], ""food_items"": [], ""total_price"": 4.5}"
77,"I'll have a Trenta Cappuccino, hint of Cold Foam, make sure there's Cold Foam... on second thought No Whip.","{""drink"": ""Cappuccino"", ""size"": ""Trenta"", ""final_milk"": ""Whole Milk"", ""modifiers"": [""Cold Foam"", ""No Whip""], ""food_items"": [], ""total_price"": 7.25}"
78,"Uh, I think I'll try the Grande Strawberry Smoothie, make sure there's No Ice, with Vanilla Syrup... kinda actually sans Peppermint Syrup, finished with Soy Milk... hang on Cold Foam.","{""drink"": ""Strawberry Smoothie"", ""size"": ""Grande"", ""final_milk"": null, ""modifiers"": [""No Ice"", ""Peppermint Syrup"", ""Cold Foam""], ""food_items"": [], ""total_price"": 8.25}"
79,"Start me off with a Tall Iced Coffee, plus Extra Hot... scratch that, give me Peppermint Syrup, alongside No Ice, and a Blueberry Muffin.","{""drink"": ""Iced Coffee"", ""size"": ""Tall"", ""final_milk"": null, ""modifiers"": [""Peppermint Syrup"", ""No Ice""], ""food_items"": [""Blueberry Muffin""], ""total_price"": 7.25}"
80,"Hook me up with a Trenta Mocha, and why not add Almond Milk... hold on No Whip.","{""drink"": ""Mocha"", ""size"": ""Trenta"", ""final_milk"": ""Whole Milk"", ""modifiers"": [""No Whip""], ""food_items"": [], ""total_price"": 6.5}"
81,"Uh, I think I'll try the Matcha Latte, make it Trenta, and a Blueberry Muffin.","{""drink"": ""Matcha Latte"", ""size"": ""Trenta"", ""final_milk"": ""Whole Milk"", ""modifiers"": [], ""food_items"": [""Blueberry Muffin""], ""total_price"": 10.5}"
82,"Start me off with a Hot Chocolate, make it Trenta, hit it with Skim Milk... switch that to Peppermint Syrup, splash of No Ice, coupled with No Ice... actually I hate Soy Milk.","{""drink"": ""Hot Chocolate"", ""size"": ""Trenta"", ""final_milk"": ""Soy Milk"", ""modifiers"": [""Peppermint Syrup"", ""No Ice"", ""Soy Milk""], ""food_items"": [], ""total_price"": 6.6}"
83,"Grab me a Short Drip Coffee, and let's add Extra Hot, paired with err Coconut Milk, add a shot of Classic Syrup.","{""drink"": ""Drip Coffee"", ""size"": ""Short"", ""final_milk"": ""Coconut Milk"", ""modifiers"": [""Extra Hot"", ""Coconut Milk"", ""Classic Syrup""], ""food_items"": [], ""total_price"": 2.7}"
84,"Please give me a Venti Americano, and a Blueberry Muffin.","{""drink"": ""Americano"", ""size"": ""Venti"", ""final_milk"": null, ""modifiers"": [], ""food_items"": [""Blueberry Muffin""], ""total_price"": 8.25}"
85,"Okay, for me, it's gonna be a Trenta Caramel Macchiato.","{""drink"": ""Caramel Macchiato"", ""size"": ""Trenta"", ""final_milk"": ""Whole Milk"", ""modifiers"": [], ""food_items"": [], ""total_price"": 6.75}"
86,"I'll have a Tall Drip Coffee, added with Light Ice.","{""drink"": ""Drip Coffee"", ""size"": ""Tall"", ""final_milk"": null, ""modifiers"": [""Light Ice""], ""food_items"": [], ""total_price"": 2.5}"
87,"Please give me a Tall Hot Chocolate, and don't forget the No Whip.","{""drink"": ""Hot Chocolate"", ""size"": ""Tall"", ""final_milk"": ""Whole Milk"", ""modifiers"": [""No Whip""], ""food_items"": [], ""total_price"": 4.0}"
88,"Please give me a Trenta Caramel Macchiato, throw in some No Whip... oops I meant No Ice, bit of Classic Syrup, make that with No Whip.","{""drink"": ""Caramel Macchiato"", ""size"": ""Trenta"", ""final_milk"": ""Whole Milk"", ""modifiers"": [""No Ice"", ""Classic Syrup"", ""No Whip""], ""food_items"": [], ""total_price"": 6.75}"
89,"Could I have a Trenta Americano, and on the side Cold Foam, bit like of Classic Syrup.","{""drink"": ""Americano"", ""size"": ""Trenta"", ""final_milk"": null, ""modifiers"": [""Cold Foam"", ""Classic Syrup""], ""food_items"": [], ""total_price"": 6.25}"
90,"Grab me a Tall Americano, plus Almond Milk, and a Butter Croissant.","{""drink"": ""Americano"", ""size"": ""Tall"", ""final_milk"": ""Almond Milk"", ""modifiers"": [""Almond Milk""], ""food_items"": [""Butter Croissant""], ""total_price"": 7.6}"
91,"I would like a Short Hot Chocolate, and don't forget the Oat Milk, alongside Hazelnut Syrup, and a Blueberry Muffin.","{""drink"": ""Hot Chocolate"", ""size"": ""Short"", ""final_milk"": ""Oat Milk"", ""modifiers"": [""Oat Milk"", ""Hazelnut Syrup""], ""food_items"": [""Blueberry Muffin""], ""total_price"": 8.55}"
92,"Could I have a Grande Chai Latte, and throw on Hazelnut Syrup, paired with Peppermint Syrup... actually like wait Whip Cream, and a Bacon Gouda Sandwich.","{""drink"": ""Chai Latte"", ""size"": ""Grande"", ""final_milk"": ""Whole Milk"", ""modifiers"": [""Hazelnut Syrup"", ""Whip Cream""], ""food_items"": [""Bacon Gouda Sandwich""], ""total_price"": 11.75}"
